Region,AgeVariable,Year,AvgDisposibleIncome
Stockholm,20-24 years,2019,3.5
Stockholm,20-24 years,2020,3.5
Stockholm,20-24 years,2021,3.6
Stockholm,20-24 years,2022,3.8
Stockholm,20-24 years,2023,3.1
Stockholm,age 25-34 years,1997,3.7
Stockholm,age 25-34 years,1998,3.9
Stockholm,age 25-34 years,1999,4.3
Stockholm,age 25-34 years,2000,4.8
Stockholm,age 25-34 years,2001,4.9
Stockholm,age 25-34 years,2002,4.7
Stockholm,age 25-34 years,2003,4.6
Stockholm,age 25-34 years,2004,4.5
Stockholm,age 25-34 years,2005,4.6
Stockholm,age 25-34 years,2006,4.9
Stockholm,age 25-34 years,2007,5.3
Stockholm,age 25-34 years,2008,5.4
Stockholm,age 25-34 years,2009,5.1
Stockholm,age 25-34 years,2010,5.3
Stockholm,age 25-34 years,2011,5.5
Stockholm,age 25-34 years,2012,5.5
Stockholm,age 25-34 years,2013,5.5
Stockholm,age 25-34 years,2014,5.8
Stockholm,age 25-34 years,2015,6.1
Stockholm,age 25-34 years,2016,6.2
Stockholm,age 25-34 years,2017,6.4
Stockholm,age 25-34 years,2018,6.3
Stockholm,age 25-34 years,2019,6.3
Stockholm,age 25-34 years,2020,6.3
Stockholm,age 25-34 years,2021,6.7
Stockholm,age 25-34 years,2022,7.0
Stockholm,age 25-34 years,2023,5.9
Stockholm,age 35-44 years,1997,4.4
Stockholm,age 35-44 years,1998,4.7
Stockholm,age 35-44 years,1999,5.1
Stockholm,age 35-44 years,2000,6.1
Stockholm,age 35-44 years,2001,5.8
Stockholm,age 35-44 years,2002,5.7
Stockholm,age 35-44 years,2003,5.6
Stockholm,age 35-44 years,2004,5.5
Stockholm,age 35-44 years,2005,5.8
Stockholm,age 35-44 years,2006,6.4
Stockholm,age 35-44 years,2007,6.9
Stockholm,age 35-44 years,2008,7.0
Stockholm,age 35-44 years,2009,6.8
Stockholm,age 35-44 years,2010,7.1
Stockholm,age 35-44 years,2011,7.4
Stockholm,age 35-44 years,2012,7.4
Stockholm,age 35-44 years,2013,7.5
Stockholm,age 35-44 years,2014,8.0
Stockholm,age 35-44 years,2015,8.3
Stockholm,age 35-44 years,2016,8.6
Stockholm,age 35-44 years,2017,8.5
Stockholm,age 35-44 years,2018,8.6
Stockholm,age 35-44 years,2019,8.6
Stockholm,age 35-44 years,2020,8.6
Stockholm,age 35-44 years,2021,9.5
Stockholm,age 35-44 years,2022,9.5
Stockholm,age 35-44 years,2023,8.0
Stockholm,age 45-54 years,1997,5.0
Stockholm,age 45-54 years,1998,5.1
Stockholm,age 45-54 years,1999,5.6
Stockholm,age 45-54 years,2000,6.2
Stockholm,age 45-54 years,2001,6.0
Stockholm,age 45-54 years,2002,6.0
Stockholm,age 45-54 years,2003,5.8
Stockholm,age 45-54 years,2004,5.9
Stockholm,age 45-54 years,2005,6.2
Stockholm,age 45-54 years,2006,6.6
Stockholm,age 45-54 years,2007,7.3
Stockholm,age 45-54 years,2008,7.3
Stockholm,age 45-54 years,2009,7.2
Stockholm,age 45-54 years,2010,7.6
Stockholm,age 45-54 years,2011,7.8
Stockholm,age 45-54 years,2012,7.9
Stockholm,age 45-54 years,2013,8.0
Stockholm,age 45-54 years,2014,8.5
Stockholm,age 45-54 years,2015,9.1
Stockholm,age 45-54 years,2016,9.5
Stockholm,age 45-54 years,2017,9.4
Stockholm,age 45-54 years,2018,9.4
Stockholm,age 45-54 years,2019,9.5
Stockholm,age 45-54 years,2020,10.1
Stockholm,age 45-54 years,2021,11.0
Stockholm,age 45-54 years,2022,11.3
Stockholm,age 45-54 years,2023,9.4
Stockholm,age 55-64 years,1997,5.0
Stockholm,age 55-64 years,1998,5.2
Stockholm,age 55-64 years,1999,5.9
Stockholm,age 55-64 years,2000,6.4
Stockholm,age 55-64 years,2001,6.5
Stockholm,age 55-64 years,2002,6.3
Stockholm,age 55-64 years,2003,6.1
Stockholm,age 55-64 years,2004,6.2
Stockholm,age 55-64 years,2005,6.5
Stockholm,age 55-64 years,2006,7.4
Stockholm,age 55-64 years,2007,8.2
Stockholm,age 55-64 years,2008,8.0
Stockholm,age 55-64 years,2009,7.7
Stockholm,age 55-64 years,2010,8.0
Stockholm,age 55-64 years,2011,8.0
Stockholm,age 55-64 years,2012,7.8
Stockholm,age 55-64 years,2013,7.9
Stockholm,age 55-64 years,2014,8.4
Stockholm,age 55-64 years,2015,8.8
Stockholm,age 55-64 years,2016,9.0
Stockholm,age 55-64 years,2017,8.9
Stockholm,age 55-64 years,2018,8.9
Stockholm,age 55-64 years,2019,9.1
Stockholm,age 55-64 years,2020,9.1
Stockholm,age 55-64 years,2021,10.3
Stockholm,age 55-64 years,2022,10.3
Stockholm,age 55-64 years,2023,9.0
Södertälje,all 20-64 years of age,1997,3.8
Södertälje,all 20-64 years of age,1998,3.8
Södertälje,all 20-64 years of age,1999,4.0
Södertälje,all 20-64 years of age,2000,4.3
Södertälje,all 20-64 years of age,2001,4.4
Södertälje,all 20-64 years of age,2002,4.5
Södertälje,all 20-64 years of age,2003,4.5
Södertälje,all 20-64 years of age,2004,4.5
Södertälje,all 20-64 years of age,2005,4.7
Södertälje,all 20-64 years of age,2006,4.8
Södertälje,all 20-64 years of age,2007,5.1
Södertälje,all 20-64 years of age,2008,5.0
Södertälje,all 20-64 years of age,2009,4.8
Södertälje,all 20-64 years of age,2010,5.0
Södertälje,all 20-64 years of age,2011,5.1
Södertälje,all 20-64 years of age,2012,5.1
Södertälje,all 20-64 years of age,2013,5.0
Södertälje,all 20-64 years of age,2014,5.2
Södertälje,all 20-64 years of age,2015,5.4
Södertälje,all 20-64 years of age,2016,5.5
Södertälje,all 20-64 years of age,2017,5.6
Södertälje,all 20-64 years of age,2018,5.7
Södertälje,all 20-64 years of age,2019,5.7
Södertälje,all 20-64 years of age,2020,5.7
Södertälje,all 20-64 years of age,2021,6.0
Södertälje,all 20-64 years of age,2022,6.2
Södertälje,all 20-64 years of age,2023,5.3
Södertälje,20-24 years,1997,2.3
Södertälje,20-24 years,1998,2.4
Södertälje,20-24 years,1999,2.5
Södertälje,20-24 years,2000,2.7
Södertälje,20-24 years,2001,2.8
Södertälje,20-24 years,2002,2.8
Södertälje,20-24 years,2003,2.8
Södertälje,20-24 years,2004,2.6
Södertälje,20-24 years,2005,2.6
Södertälje,20-24 years,2006,2.7
Södertälje,20-24 years,2007,3.0
Södertälje,20-24 years,2008,3.1
Södertälje,20-24 years,2009,2.8
Södertälje,20-24 years,2010,2.9
Södertälje,20-24 years,2011,3.1
Södertälje,20-24 years,2012,3.1
Södertälje,20-24 years,2013,3.1
Södertälje,20-24 years,2014,3.2
Södertälje,20-24 years,2015,3.4
Södertälje,20-24 years,2016,3.5
Södertälje,20-24 years,2017,3.6
Södertälje,20-24 years,2018,3.8
Södertälje,20-24 years,2019,3.7
Södertälje,20-24 years,2020,3.5
Södertälje,20-24 years,2021,3.8
Södertälje,20-24 years,2022,4.0
Södertälje,20-24 years,2023,3.4
Södertälje,age 25-34 years,1997,3.4
Södertälje,age 25-34 years,1998,3.5
Södertälje,age 25-34 years,1999,3.8
Södertälje,age 25-34 years,2000,4.0
Södertälje,age 25-34 years,2001,4.1
Södertälje,age 25-34 years,2002,4.1
Södertälje,age 25-34 years,2003,4.1
Södertälje,age 25-34 years,2004,4.0
Södertälje,age 25-34 years,2005,4.1
Södertälje,age 25-34 years,2006,4.1
Södertälje,age 25-34 years,2007,4.4
Södertälje,age 25-34 years,2008,4.4
Södertälje,age 25-34 years,2009,4.1
Södertälje,age 25-34 years,2010,4.3
Södertälje,age 25-34 years,2011,4.4
Södertälje,age 25-34 years,2012,4.4
Södertälje,age 25-34 years,2013,4.4
Södertälje,age 25-34 years,2014,4.6
Södertälje,age 25-34 years,2015,4.8
Södertälje,age 25-34 years,2016,5.0
Södertälje,age 25-34 years,2017,5.0
Södertälje,age 25-34 years,2018,5.2
Södertälje,age 25-34 years,2019,5.2
Södertälje,age 25-34 years,2020,5.2
Södertälje,age 25-34 years,2021,5.4
Södertälje,age 25-34 years,2022,5.7
Södertälje,age 25-34 years,2023,4.9
Södertälje,age 35-44 years,1997,4.0
Södertälje,age 35-44 years,1998,4.0
Södertälje,age 35-44 years,1999,4.3
Södertälje,age 35-44 years,2000,4.5
Södertälje,age 35-44 years,2001,4.7
Södertälje,age 35-44 years,2002,4.8
Södertälje,age 35-44 years,2003,4.7
Södertälje,age 35-44 years,2004,4.7
Södertälje,age 35-44 years,2005,4.9
Södertälje,age 35-44 years,2006,5.1
Södertälje,age 35-44 years,2007,5.4
Södertälje,age 35-44 years,2008,5.5
Södertälje,age 35-44 years,2009,5.3
Södertälje,age 35-44 years,2010,5.5
Södertälje,age 35-44 years,2011,5.6
Södertälje,age 35-44 years,2012,5.5
Södertälje,age 35-44 years,2013,5.5
Södertälje,age 35-44 years,2014,5.6
Södertälje,age 35-44 years,2015,5.8
Södertälje,age 35-44 years,2016,5.9
Södertälje,age 35-44 years,2017,6.0
Södertälje,age 35-44 years,2018,6.0
Södertälje,age 35-44 years,2019,6.0
Södertälje,age 35-44 years,2020,6.0
Södertälje,age 35-44 years,2021,6.3
Södertälje,age 35-44 years,2022,6.4
Södertälje,age 35-44 years,2023,5.5
Södertälje,age 45-54 years,1997,4.4
Södertälje,age 45-54 years,1998,4.3
Södertälje,age 45-54 years,1999,4.5
Södertälje,age 45-54 years,2000,4.9
Södertälje,age 45-54 years,2001,5.0
Södertälje,age 45-54 years,2002,5.1
Södertälje,age 45-54 years,2003,5.0
Södertälje,age 45-54 years,2004,4.9
Södertälje,age 45-54 years,2005,5.0
Södertälje,age 45-54 years,2006,5.2
Södertälje,age 45-54 years,2007,5.6
Södertälje,age 45-54 years,2008,5.7
Södertälje,age 45-54 years,2009,5.3
Södertälje,age 45-54 years,2010,5.6
Södertälje,age 45-54 years,2011,5.8
Södertälje,age 45-54 years,2012,5.8
Södertälje,age 45-54 years,2013,5.9
Södertälje,age 45-54 years,2014,6.0
Södertälje,age 45-54 years,2015,6.2
Södertälje,age 45-54 years,2016,6.3
Södertälje,age 45-54 years,2017,6.5
Södertälje,age 45-54 years,2018,6.6
Södertälje,age 45-54 years,2019,6.6
Södertälje,age 45-54 years,2020,6.5
Södertälje,age 45-54 years,2021,6.8
Södertälje,age 45-54 years,2022,7.0
Södertälje,age 45-54 years,2023,5.9
Södertälje,age 55-64 years,1997,4.0
Södertälje,age 55-64 years,1998,4.2
Södertälje,age 55-64 years,1999,4.4
Södertälje,age 55-64 years,2000,4.8
Södertälje,age 55-64 years,2001,4.7
Södertälje,age 55-64 years,2002,4.8
Södertälje,age 55-64 years,2003,4.8
Södertälje,age 55-64 years,2004,5.2
Södertälje,age 55-64 years,2005,5.8
Södertälje,age 55-64 years,2006,5.7
Södertälje,age 55-64 years,2007,5.9
Södertälje,age 55-64 years,2008,5.6
Södertälje,age 55-64 years,2009,5.4
Södertälje,age 55-64 years,2010,5.6
Södertälje,age 55-64 years,2011,5.7
Södertälje,age 55-64 years,2012,5.6
Södertälje,age 55-64 years,2013,5.5
Södertälje,age 55-64 years,2014,5.7
Södertälje,age 55-64 years,2015,5.8
Södertälje,age 55-64 years,2016,5.8
Södertälje,age 55-64 years,2017,6.0
Södertälje,age 55-64 years,2018,6.0
Södertälje,age 55-64 years,2019,5.9
Södertälje,age 55-64 years,2020,6.0
Södertälje,age 55-64 years,2021,6.3
Södertälje,age 55-64 years,2022,6.6
Södertälje,age 55-64 years,2023,5.6
Nacka,all 20-64 years of age,1997,4.6
Nacka,all 20-64 years of age,1998,4.8
Nacka,all 20-64 years of age,1999,5.4
Nacka,all 20-64 years of age,2000,6.5
Nacka,all 20-64 years of age,2001,5.9
Nacka,all 20-64 years of age,2002,5.8
Nacka,all 20-64 years of age,2003,5.7
Nacka,all 20-64 years of age,2004,5.7
Nacka,all 20-64 years of age,2005,6.1
Nacka,all 20-64 years of age,2006,6.6
Nacka,all 20-64 years of age,2007,7.3
Nacka,all 20-64 years of age,2008,7.3
Nacka,all 20-64 years of age,2009,7.0
Nacka,all 20-64 years of age,2010,7.3
Nacka,all 20-64 years of age,2011,7.6
Nacka,all 20-64 years of age,2012,7.5
Nacka,all 20-64 years of age,2013,7.6
Nacka,all 20-64 years of age,2014,8.1
Nacka,all 20-64 years of age,2015,8.4
Nacka,all 20-64 years of age,2016,8.7
Nacka,all 20-64 years of age,2017,8.8
Nacka,all 20-64 years of age,2018,8.6
Nacka,all 20-64 years of age,2019,8.9
Nacka,all 20-64 years of age,2020,9.2
Nacka,all 20-64 years of age,2021,10.4
Nacka,all 20-64 years of age,2022,10.3
Nacka,all 20-64 years of age,2023,8.8
Nacka,20-24 years,1997,2.1
Nacka,20-24 years,1998,2.3
Nacka,20-24 years,1999,2.5
Nacka,20-24 years,2000,2.6
Nacka,20-24 years,2001,2.6
Nacka,20-24 years,2002,2.6
Nacka,20-24 years,2003,2.5
Nacka,20-24 years,2004,2.4
Nacka,20-24 years,2005,2.5
Nacka,20-24 years,2006,2.6
Nacka,20-24 years,2007,3.0
Nacka,20-24 years,2008,3.0
Nacka,20-24 years,2009,2.8
Nacka,20-24 years,2010,2.8
Nacka,20-24 years,2011,2.9
Nacka,20-24 years,2012,2.9
Nacka,20-24 years,2013,2.9
Nacka,20-24 years,2014,3.0
Nacka,20-24 years,2015,3.2
Nacka,20-24 years,2016,3.4
Nacka,20-24 years,2017,3.4
Nacka,20-24 years,2018,3.5
Nacka,20-24 years,2019,3.4
Nacka,20-24 years,2020,3.3
Nacka,20-24 years,2021,3.6
Nacka,20-24 years,2022,3.7
Nacka,20-24 years,2023,3.1
Nacka,age 25-34 years,1997,3.9
Nacka,age 25-34 years,1998,4.0
Nacka,age 25-34 years,1999,4.5
Nacka,age 25-34 years,2000,7.1
Nacka,age 25-34 years,2001,4.9
Nacka,age 25-34 years,2002,4.9
Nacka,age 25-34 years,2003,4.7
Nacka,age 25-34 years,2004,4.5
Nacka,age 25-34 years,2005,4.7
Nacka,age 25-34 years,2006,4.8
Nacka,age 25-34 years,2007,5.3
Nacka,age 25-34 years,2008,5.3
Nacka,age 25-34 years,2009,5.0
Nacka,age 25-34 years,2010,5.2
Nacka,age 25-34 years,2011,5.3
Nacka,age 25-34 years,2012,5.2
Nacka,age 25-34 years,2013,5.3
Nacka,age 25-34 years,2014,5.6
Nacka,age 25-34 years,2015,5.9
Nacka,age 25-34 years,2016,6.0
Nacka,age 25-34 years,2017,6.0
Nacka,age 25-34 years,2018,5.9
Nacka,age 25-34 years,2019,6.0
Nacka,age 25-34 years,2020,6.4
Nacka,age 25-34 years,2021,6.9
Nacka,age 25-34 years,2022,6.7
Nacka,age 25-34 years,2023,5.7
Nacka,age 35-44 years,1997,5.2
Nacka,age 35-44 years,1998,5.6
Nacka,age 35-44 years,1999,6.1
Nacka,age 35-44 years,2000,7.1
Nacka,age 35-44 years,2001,7.0
Nacka,age 35-44 years,2002,6.7
Nacka,age 35-44 years,2003,6.5
Nacka,age 35-44 years,2004,6.5
Nacka,age 35-44 years,2005,7.0
Nacka,age 35-44 years,2006,7.5
Nacka,age 35-44 years,2007,8.1
Nacka,age 35-44 years,2008,8.3
Nacka,age 35-44 years,2009,8.0
Nacka,age 35-44 years,2010,8.6
Nacka,age 35-44 years,2011,8.6
Nacka,age 35-44 years,2012,8.6
Nacka,age 35-44 years,2013,8.7
Nacka,age 35-44 years,2014,9.1
Nacka,age 35-44 years,2015,9.4
Nacka,age 35-44 years,2016,9.6
Nacka,age 35-44 years,2017,9.4
Nacka,age 35-44 years,2018,9.3
Nacka,age 35-44 years,2019,9.7
Nacka,age 35-44 years,2020,9.4
Nacka,age 35-44 years,2021,10.5
Nacka,age 35-44 years,2022,10.5
Nacka,age 35-44 years,2023,8.9
Nacka,age 45-54 years,1997,5.4
Nacka,age 45-54 years,1998,5.4
Nacka,age 45-54 years,1999,6.2
Nacka,age 45-54 years,2000,6.7
Nacka,age 45-54 years,2001,6.8
Nacka,age 45-54 years,2002,6.5
Nacka,age 45-54 years,2003,6.6
Nacka,age 45-54 years,2004,6.8
Nacka,age 45-54 years,2005,7.2
Nacka,age 45-54 years,2006,8.0
Nacka,age 45-54 years,2007,8.9
Nacka,age 45-54 years,2008,9.0
Nacka,age 45-54 years,2009,8.6
Nacka,age 45-54 years,2010,8.9
Nacka,age 45-54 years,2011,9.4
Nacka,age 45-54 years,2012,9.4
Nacka,age 45-54 years,2013,9.5
Nacka,age 45-54 years,2014,10.1
Nacka,age 45-54 years,2015,10.5
Nacka,age 45-54 years,2016,10.8
Nacka,age 45-54 years,2017,11.2
Nacka,age 45-54 years,2018,11.1
Nacka,age 45-54 years,2019,11.4
Nacka,age 45-54 years,2020,11.7
Nacka,age 45-54 years,2021,14.3
Nacka,age 45-54 years,2022,13.3
Nacka,age 45-54 years,2023,11.3
Nacka,age 55-64 years,1997,5.0
Nacka,age 55-64 years,1998,5.3
Nacka,age 55-64 years,1999,5.7
Nacka,age 55-64 years,2000,6.2
Nacka,age 55-64 years,2001,6.0
Nacka,age 55-64 years,2002,6.1
Nacka,age 55-64 years,2003,5.9
Nacka,age 55-64 years,2004,6.1
Nacka,age 55-64 years,2005,6.5
Nacka,age 55-64 years,2006,7.3
Nacka,age 55-64 years,2007,7.8
Nacka,age 55-64 years,2008,7.6
Nacka,age 55-64 years,2009,7.4
Nacka,age 55-64 years,2010,7.8
Nacka,age 55-64 years,2011,8.4
Nacka,age 55-64 years,2012,8.2
Nacka,age 55-64 years,2013,8.3
Nacka,age 55-64 years,2014,9.4
Nacka,age 55-64 years,2015,9.6
Nacka,age 55-64 years,2016,9.9
Nacka,age 55-64 years,2017,10.1
Nacka,age 55-64 years,2018,9.7
Nacka,age 55-64 years,2019,10.0
Nacka,age 55-64 years,2020,10.6
Nacka,age 55-64 years,2021,11.7
Nacka,age 55-64 years,2022,12.2
Nacka,age 55-64 years,2023,10.8
Sundbyberg,all 20-64 years of age,1997,3.8
Sundbyberg,all 20-64 years of age,1998,4.0
Sundbyberg,all 20-64 years of age,1999,4.3
Sundbyberg,all 20-64 years of age,2000,4.8
Sundbyberg,all 20-64 years of age,2001,4.8
Sundbyberg,all 20-64 years of age,2002,4.8
Sundbyberg,all 20-64 years of age,2003,4.7
Sundbyberg,all 20-64 years of age,2004,4.7
Sundbyberg,all 20-64 years of age,2005,4.8
Sundbyberg,all 20-64 years of age,2006,5.0
Sundbyberg,all 20-64 years of age,2007,5.4
Sundbyberg,all 20-64 years of age,2008,5.6
Sundbyberg,all 20-64 years of age,2009,5.4
Sundbyberg,all 20-64 years of age,2010,5.6
Sundbyberg,all 20-64 years of age,2011,5.8
Sundbyberg,all 20-64 years of age,2012,5.8
Sundbyberg,all 20-64 years of age,2013,5.8
Sundbyberg,all 20-64 years of age,2014,6.2
Sundbyberg,all 20-64 years of age,2015,6.4
Sundbyberg,all 20-64 years of age,2016,6.6
Sundbyberg,all 20-64 years of age,2017,6.8
Sundbyberg,all 20-64 years of age,2018,6.8
Sundbyberg,all 20-64 years of age,2019,6.9
Sundbyberg,all 20-64 years of age,2020,7.0
Sundbyberg,all 20-64 years of age,2021,7.4
Sundbyberg,all 20-64 years of age,2022,7.5
Sundbyberg,all 20-64 years of age,2023,6.4
Sundbyberg,20-24 years,1997,2.5
Sundbyberg,20-24 years,1998,2.6
Sundbyberg,20-24 years,1999,2.8
Sundbyberg,20-24 years,2000,3.0
Sundbyberg,20-24 years,2001,3.0
Sundbyberg,20-24 years,2002,2.9
Sundbyberg,20-24 years,2003,2.8
Sundbyberg,20-24 years,2004,2.7
Sundbyberg,20-24 years,2005,2.7
Sundbyberg,20-24 years,2006,2.8
Sundbyberg,20-24 years,2007,3.2
Sundbyberg,20-24 years,2008,3.2
Sundbyberg,20-24 years,2009,2.9
Sundbyberg,20-24 years,2010,3.0
Sundbyberg,20-24 years,2011,3.1
Sundbyberg,20-24 years,2012,3.2
Sundbyberg,20-24 years,2013,3.2
Sundbyberg,20-24 years,2014,3.3
Sundbyberg,20-24 years,2015,3.6
Sundbyberg,20-24 years,2016,3.8
Sundbyberg,20-24 years,2017,3.8
Sundbyberg,20-24 years,2018,3.8
Sundbyberg,20-24 years,2019,3.8
Sundbyberg,20-24 years,2020,3.8
Sundbyberg,20-24 years,2021,3.8
Sundbyberg,20-24 years,2022,3.9
Sundbyberg,20-24 years,2023,3.3
Sundbyberg,age 25-34 years,1997,3.7
Sundbyberg,age 25-34 years,1998,3.9
Sundbyberg,age 25-34 years,1999,4.2
Sundbyberg,age 25-34 years,2000,4.6
Sundbyberg,age 25-34 years,2001,4.7
Sundbyberg,age 25-34 years,2002,4.8
Sundbyberg,age 25-34 years,2003,4.5
Sundbyberg,age 25-34 years,2004,4.4
Sundbyberg,age 25-34 years,2005,4.4
Sundbyberg,age 25-34 years,2006,4.6
Sundbyberg,age 25-34 years,2007,4.9
Sundbyberg,age 25-34 years,2008,5.0
Sundbyberg,age 25-34 years,2009,4.8
Sundbyberg,age 25-34 years,2010,5.0
Sundbyberg,age 25-34 years,2011,5.1
Sundbyberg,age 25-34 years,2012,5.1
Sundbyberg,age 25-34 years,2013,5.2
Sundbyberg,age 25-34 years,2014,5.4
Sundbyberg,age 25-34 years,2015,5.7
Sundbyberg,age 25-34 years,2016,6.0
Sundbyberg,age 25-34 years,2017,6.1
Sundbyberg,age 25-34 years,2018,6.1
Sundbyberg,age 25-34 years,2019,6.2
Sundbyberg,age 25-34 years,2020,6.2
Sundbyberg,age 25-34 years,2021,6.6
Sundbyberg,age 25-34 years,2022,6.7
Sundbyberg,age 25-34 years,2023,5.8
Sundbyberg,age 35-44 years,1997,4.1
Sundbyberg,age 35-44 years,1998,4.3
Sundbyberg,age 35-44 years,1999,4.7
Sundbyberg,age 35-44 years,2000,5.3
Sundbyberg,age 35-44 years,2001,5.2
Sundbyberg,age 35-44 years,2002,5.3
Sundbyberg,age 35-44 years,2003,5.1
Sundbyberg,age 35-44 years,2004,5.1
Sundbyberg,age 35-44 years,2005,5.3
Sundbyberg,age 35-44 years,2006,5.5
Sundbyberg,age 35-44 years,2007,6.1
Sundbyberg,age 35-44 years,2008,6.4
Sundbyberg,age 35-44 years,2009,6.0
Sundbyberg,age 35-44 years,2010,6.3
Sundbyberg,age 35-44 years,2011,6.5
Sundbyberg,age 35-44 years,2012,6.5
Sundbyberg,age 35-44 years,2013,6.7
Sundbyberg,age 35-44 years,2014,7.1
Sundbyberg,age 35-44 years,2015,7.2
Sundbyberg,age 35-44 years,2016,7.3
Sundbyberg,age 35-44 years,2017,7.5
Sundbyberg,age 35-44 years,2018,7.5
Sundbyberg,age 35-44 years,2019,7.5
Sundbyberg,age 35-44 years,2020,7.5
Sundbyberg,age 35-44 years,2021,7.8
Sundbyberg,age 35-44 years,2022,8.2
Sundbyberg,age 35-44 years,2023,6.8
Sundbyberg,age 45-54 years,1997,4.3
Sundbyberg,age 45-54 years,1998,4.4
Sundbyberg,age 45-54 years,1999,4.8
Sundbyberg,age 45-54 years,2000,5.2
Sundbyberg,age 45-54 years,2001,5.3
Sundbyberg,age 45-54 years,2002,5.2
Sundbyberg,age 45-54 years,2003,5.2
Sundbyberg,age 45-54 years,2004,5.4
Sundbyberg,age 45-54 years,2005,5.5
Sundbyberg,age 45-54 years,2006,5.6
Sundbyberg,age 45-54 years,2007,6.1
Sundbyberg,age 45-54 years,2008,6.2
Sundbyberg,age 45-54 years,2009,6.2
Sundbyberg,age 45-54 years,2010,6.4
Sundbyberg,age 45-54 years,2011,6.8
Sundbyberg,age 45-54 years,2012,6.9
Sundbyberg,age 45-54 years,2013,6.8
Sundbyberg,age 45-54 years,2014,7.2
Sundbyberg,age 45-54 years,2015,7.5
Sundbyberg,age 45-54 years,2016,7.8
Sundbyberg,age 45-54 years,2017,8.0
Sundbyberg,age 45-54 years,2018,8.0
Sundbyberg,age 45-54 years,2019,8.1
Sundbyberg,age 45-54 years,2020,8.3
Sundbyberg,age 45-54 years,2021,8.9
Sundbyberg,age 45-54 years,2022,8.8
Sundbyberg,age 45-54 years,2023,7.6
Sundbyberg,age 55-64 years,1997,4.2
Sundbyberg,age 55-64 years,1998,4.4
Sundbyberg,age 55-64 years,1999,4.5
Sundbyberg,age 55-64 years,2000,5.0
Sundbyberg,age 55-64 years,2001,4.9
Sundbyberg,age 55-64 years,2002,5.0
Sundbyberg,age 55-64 years,2003,5.0
Sundbyberg,age 55-64 years,2004,5.1
Sundbyberg,age 55-64 years,2005,5.2
Sundbyberg,age 55-64 years,2006,5.5
Sundbyberg,age 55-64 years,2007,5.8
Sundbyberg,age 55-64 years,2008,6.1
Sundbyberg,age 55-64 years,2009,6.0
Sundbyberg,age 55-64 years,2010,6.2
Sundbyberg,age 55-64 years,2011,6.3
Sundbyberg,age 55-64 years,2012,6.5
Sundbyberg,age 55-64 years,2013,6.4
Sundbyberg,age 55-64 years,2014,6.9
Sundbyberg,age 55-64 years,2015,7.1
Sundbyberg,age 55-64 years,2016,7.4
Sundbyberg,age 55-64 years,2017,7.5
Sundbyberg,age 55-64 years,2018,7.3
Sundbyberg,age 55-64 years,2019,7.5
Sundbyberg,age 55-64 years,2020,7.7
Sundbyberg,age 55-64 years,2021,8.1
Sundbyberg,age 55-64 years,2022,8.2
Sundbyberg,age 55-64 years,2023,7.0
Solna,all 20-64 years of age,1997,4.0
Solna,all 20-64 years of age,1998,4.0
Solna,all 20-64 years of age,1999,4.5
Solna,all 20-64 years of age,2000,4.9
Solna,all 20-64 years of age,2001,5.0
Solna,all 20-64 years of age,2002,5.0
Solna,all 20-64 years of age,2003,5.0
Solna,all 20-64 years of age,2004,4.9
Solna,all 20-64 years of age,2005,5.1
Solna,all 20-64 years of age,2006,5.4
Solna,all 20-64 years of age,2007,5.9
Solna,all 20-64 years of age,2008,5.9
Solna,all 20-64 years of age,2009,5.8
Solna,all 20-64 years of age,2010,6.0
Solna,all 20-64 years of age,2011,6.2
Solna,all 20-64 years of age,2012,6.1
Solna,all 20-64 years of age,2013,6.2
Solna,all 20-64 years of age,2014,6.6
Solna,all 20-64 years of age,2015,7.0
Solna,all 20-64 years of age,2016,7.1
Solna,all 20-64 years of age,2017,7.2
Solna,all 20-64 years of age,2018,7.2
Solna,all 20-64 years of age,2019,7.3
Solna,all 20-64 years of age,2020,7.4
Solna,all 20-64 years of age,2021,7.9
Solna,all 20-64 years of age,2022,8.1
Solna,all 20-64 years of age,2023,6.9
Solna,20-24 years,1997,2.3
Solna,20-24 years,1998,2.4
Solna,20-24 years,1999,2.6
Solna,20-24 years,2000,2.8
Solna,20-24 years,2001,3.1
Solna,20-24 years,2002,2.8
Solna,20-24 years,2003,2.7
Solna,20-24 years,2004,2.6
Solna,20-24 years,2005,2.6
Solna,20-24 years,2006,2.7
Solna,20-24 years,2007,3.2
Solna,20-24 years,2008,3.0
Solna,20-24 years,2009,2.9
Solna,20-24 years,2010,3.0
Solna,20-24 years,2011,3.1
Solna,20-24 years,2012,3.2
Solna,20-24 years,2013,3.1
Solna,20-24 years,2014,3.2
Solna,20-24 years,2015,3.4
Solna,20-24 years,2016,3.5
Solna,20-24 years,2017,3.5
Solna,20-24 years,2018,3.6
Solna,20-24 years,2019,3.6
Solna,20-24 years,2020,3.5
Solna,20-24 years,2021,3.7
Solna,20-24 years,2022,3.7
Solna,20-24 years,2023,3.1
Solna,age 25-34 years,1997,3.6
Solna,age 25-34 years,1998,3.8
Solna,age 25-34 years,1999,4.4
Solna,age 25-34 years,2000,4.7
Solna,age 25-34 years,2001,4.9
Solna,age 25-34 years,2002,4.8
Solna,age 25-34 years,2003,4.7
Solna,age 25-34 years,2004,4.5
Solna,age 25-34 years,2005,4.6
Solna,age 25-34 years,2006,4.9
Solna,age 25-34 years,2007,5.3
